sentenca_a	sentenca_b	conflito
Whenever there's a doubt, company lawyers must always be consulted.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Respect differences in gender, sexual identity, sexual orientation, religion, races, cultures, nationalities, social classes, ages and characteristics.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Everyone must be treated with equality and transparency.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Obey the limits of human rights to human dignity, personal worth, life, freedom, freedom of expression and opinion, free association, work and education.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
A leadership position cannot be used to solicit personal favors or services from staff members.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
A work team leader cannot abuse their powers or authority.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Intervention in the private lives of members of the work team is prohibited.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
It is forbidden to use alcohol and illicit drugs in the workplace.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
All work team members must have equal opportunities.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Forced labor, slave labor, child labor, sexual exploitation and human trafficking in the activities of the Company and its agents and business partners are prohibited.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Workplace haressment is prohibited.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Team leaders must promote the safety and health of everyone in the workplace.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Work team members must not prevent or hinder the entry of labor inspectors, police officers or labor auditors.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Labor inspectors, police officers or labor auditors accompany must be performed by qualified personnel trained for this purpose.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Staff members are responsible for the conservation and protection of Company assets, including data, information, facilities, machinery, equipment, vehicles and money.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Information technology resources such as telephones, e-mail, internet access, software, hardware, and others available to members of the work are for work purposes only.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Data, recordings, and information produced by staff members and kept in digital copy or on Company information systems are the sole property of the Company.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Staff members must identify, store and secure records of all data produced, received and transmitted at the Company.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
The destruction of data required by court to be used in legal litigation is a crime and harms the Company.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
If the staff member is unsure about which data to submit or what to do with the data, Company lawyers must be consulted.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
The privacy of registration, information, operation and contract data of customers, suppliers and business partners must be preserved by staff members.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Team members are prohibited from promising, offering or giving, directly or indirectly, advantages, favors, gifts or anything to influence Company customers and customer representatives.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Work team members are required to draw up objective contracts without ambiguity or omission in accordance with local law.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Work team members who drafted the contract are responsible for errors in the contract and may be dismissed.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Limiting, distorting or harming free competition and free enterprise is prohibited.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Competition fraud is prohibited.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
It is forbidden to make agreements, express or implied, with competitors with the intention to divide customers and territories.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to stop purchasing products from specific suppliers.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of fixing minimum price, maximum price or price stability.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Making express or implied agreements with competitors to accelerate obsolescence or discontinuity of obsolete products is prohibited.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of limiting the quantity of products sold to each customer.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to grant or extinguish price discounts.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Work team members cannot unequally treat customers with distinct characteristics.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Work team members may not work for companies, or be partners with companies that operate in the same industry.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Work team members may not enter into agreements or transactions with Company competitors, except on behalf of the Company.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Work team members are responsible for acts of corruption that they perform to circumvent the laws to gain advantage for themselves or the Company by promising, inducing, offering, delivering or authorizing the delivery of objects or favors to public officials.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Work team members are responsible for improperly obtaining from civil servants, customers or competitors objects or favors to the detriment of the Company.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Work team members cannot promise, offer, give or authorize the direct or indirect delivery of financial contributions to politicians or political parties on behalf of the Company.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	yes
Contributions to politicians or political parties in the countries in which they are accepted may only be made with the approval of the Company's Board of Directors.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	no
Whenever there's a doubt, company lawyers must always be consulted.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Respect differences in gender, sexual identity, sexual orientation, religion, races, cultures, nationalities, social classes, ages and characteristics.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Everyone must be treated with equality and transparency.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Obey the limits of human rights to human dignity, personal worth, life, freedom, freedom of expression and opinion, free association, work and education.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
A leadership position cannot be used to solicit personal favors or services from staff members.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
A work team leader cannot abuse their powers or authority.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Intervention in the private lives of members of the work team is prohibited.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
It is forbidden to use alcohol and illicit drugs in the workplace.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
All work team members must have equal opportunities.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Forced labor, slave labor, child labor, sexual exploitation and human trafficking in the activities of the Company and its agents and business partners are prohibited.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Workplace haressment is prohibited.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Team leaders must promote the safety and health of everyone in the workplace.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
