conduct	complaint	nli_class	nli_contradiction_score	nli_entailment_score	nli_neutral_score	conflict
Whenever there's a doubt, company lawyers must always be consulted.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.8139100670814514	0.005303180310875177	0.18078666925430298	no
Respect differences in gender, sexual identity, sexual orientation, religion, races, cultures, nationalities, social classes, ages and characteristics.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.6864434480667114	0.0033900297712534666	0.310166597366333	no
Everyone must be treated with equality and transparency.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.7855644226074219	0.0034060529433190823	0.21102958917617798	no
Obey the limits of human rights to human dignity, personal worth, life, freedom, freedom of expression and opinion, free association, work and education.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.8906443119049072	0.002165343379601836	0.10719042271375656	no
A leadership position cannot be used to solicit personal favors or services from staff members.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	neutral	0.3194349706172943	0.019904544577002525	0.660660445690155	no
A work team leader cannot abuse their powers or authority.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.6274837255477905	0.005265094805508852	0.36725112795829773	no
Intervention in the private lives of members of the work team is prohibited.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	neutral	0.010128981433808804	0.025194430723786354	0.9646766185760498	no
It is forbidden to use alcohol and illicit drugs in the workplace.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	neutral	0.06545261293649673	0.017628416419029236	0.9169190526008606	no
All work team members must have equal opportunities.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.7740127444267273	0.005874487571418285	0.2201126515865326	no
Forced labor, slave labor, child labor, sexual exploitation and human trafficking in the activities of the Company and its agents and business partners are prohibited.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	neutral	0.032238394021987915	0.0651145800948143	0.9026469588279724	no
Workplace haressment is prohibited.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	neutral	0.010659988038241863	0.026780612766742706	0.9625594019889832	no
Team leaders must promote the safety and health of everyone in the workplace.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.8165748119354248	0.0038846342358738184	0.17954044044017792	no
Work team members must not prevent or hinder the entry of labor inspectors, police officers or labor auditors.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.8096705675125122	0.004121112637221813	0.18620827794075012	no
